CitationKey,Authors,Year,Title,Publication,TheoryCategory,MethodCategory,Phenomenon,url
Alexander2025,"Alexander, C.",2025,What is 4E cognitive science?,Phenomenology and the Cognitive Sciences,4E,Review,4ECognition,NA
Amir2023,"Amir, Y. Z., Assaf, Y., Yovel, Y., & Mudrik, L.",2023,Experiencing without knowing? Empirical evidence for phenomenal consciousness without access,Cognition,P-consciousness,Neuroimaging,PhenomenalConsciousness,NA
Becker2000,"Becker, M.W., Pashler, H., & Anstis, S.M.",2000,The role of iconic memory in change-detection tasks,Perception,MemoryModels,Psychophysics,ChangeDetection,http://anstislab.ucsd.edu/files/2012/11/2000-Iconic-memory.pdf
Block1995,"Block, N.",1995,On a Confusion About a Function of Consciousness,Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,NA
Block2005,"Block, N.",2005,Two neural correlates of consciousness,Trends in cognitive sciences,NCC,ConceptualAnalysis,NeuralCorrelates,NA
Block2007,"Block, N.",2007,"Consciousness, accessibility, and the mesh between psychology and neuroscience",Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,NA
Blum2022,"Blum, L., & Blum, M.",2022,A theory of consciousness from a theoretical computer science perspective: Insights from the Conscious Turing Machine,Proceedings of the National Academy of Sciences,Computational,ComputationalModeling,MachineConsciousness,NA
Bridgeman2011,"Bridgeman, B., & Tseng, P.",2011,Embodied cognition and the perception–action link,Physics of Life Reviews,Embodied,ConceptualAnalysis,PerceptionAction,https://www.academia.edu/download/51132155/Embodied_cognition_and_the_perception-ac20161231-15005-rdybp0.pdf
Busch2013,"Busch, N.A.",2013,The fate of object memory traces under change detection and change blindness,Brain Research,MemoryModels,Neuroimaging,ChangeBlindness,NA
Ciaunica2021a,"Ciaunica, A., Constant, A., Preissl, H., & Fotopoulou, K.",2021,The first prior: From co-embodiment to co-homeostasis in early life,Consciousness and Cognition,Embodied,ConceptualAnalysis,Intersubjectivity,NA
Ciaunica2021b,"Ciaunica, A., Safron, A., & Delafield-Butt, J.",2021,Back to square one: the bodily roots of conscious experiences in early life,Neuroscience of consciousness,Embodied,ConceptualAnalysis,Developmental,NA
Clark1998,"Clark, A., & Chalmers, D.",1998,The extended mind,Analysis,ExtendedMind,ConceptualAnalysis,ExtendedCognition,NA
Crick1998,"Crick, F., & Koch, C.",1998,Consciousness and neuroscience,Cerebral cortex,NCC,Neuroscience,NeuralCorrelates,NA
