CitationKey,Authors,Year,Title,Publication,TheoryCategory,MethodCategory,Phenomenon,URL,authors,year,title,publication
Alexander2025,"Alexander, C.",2025.0,What is 4E cognitive science?,Phenomenology and the Cognitive Sciences,4E,Review,4ECognition,,,,,
Amir2023,"Amir, Y. Z., Assaf, Y., Yovel, Y., & Mudrik, L.",2023.0,Experiencing without knowing? Empirical evidence for phenomenal consciousness without access,Cognition,P-consciousness,Neuroimaging,PhenomenalConsciousness,,,,,
Becker2000,"Becker, M.W., Pashler, H., & Anstis, S.M.",2000.0,The role of iconic memory in change-detection tasks,Perception,MemoryModels,Psychophysics,ChangeDetection,url,,,,
Block1995,"Block, N.",1995.0,On a Confusion About a Function of Consciousness,Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,,,,,
Block2005,"Block, N.",2005.0,Two neural correlates of consciousness,Trends in cognitive sciences,NCC,ConceptualAnalysis,NeuralCorrelates,,,,,
Block2007,"Block, N.",2007.0,"Consciousness, accessibility, and the mesh between psychology and neuroscience",Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,,,,,
Blum2022,"Blum, L., & Blum, M.",2022.0,A theory of consciousness from a theoretical computer science perspective: Insights from the Conscious Turing Machine,Proceedings of the National Academy of Sciences,Computational,ComputationalModeling,MachineConsciousness,https://arxiv.org/pdf/2208.09464.pdf,,,,
Bridgeman2011,"Bridgeman, B., & Tseng, P.",2011.0,Embodied cognition and the perception–action link,Physics of Life Reviews,Embodied,ConceptualAnalysis,PerceptionAction,http://anstislab.ucsd.edu/files/2012/11/2000-Iconic-memory.pdf,,,,
Busch2013,"Busch, N.A.",2013.0,The fate of object memory traces under change detection and change blindness,Brain Research,MemoryModels,Neuroimaging,ChangeBlindness,,,,,
Ciaunica2021a,"Ciaunica, A., Constant, A., Preissl, H., & Fotopoulou, K.",2021.0,The first prior: From co-embodiment to co-homeostasis in early life,Consciousness and Cognition,Embodied,ConceptualAnalysis,Intersubjectivity,https://pure.royalholloway.ac.uk/portal/files/48301541/The_first_prior_From_co_embodiment_to_co_homeostasis_in_early_life.pdf,,,,
Ciaunica2021b,"Ciaunica, A., Safron, A., & Delafield-Butt, J.",2021.0,Back to square one: the bodily roots of conscious experiences in early life,Neuroscience of consciousness,Embodied,ConceptualAnalysis,Developmental,https://repository.bbk.ac.uk/id/eprint/37773/1/Back%20to%20square%20one%20(preprint).pdf,,,,
Clark1998,"Clark, A., & Chalmers, D.",1998.0,The extended mind,Analysis,ExtendedMind,ConceptualAnalysis,ExtendedCognition,https://consc.net/papers/extended.pdf,,,,
Crick1998,"Crick, F., & Koch, C.",1998.0,Consciousness and neuroscience,Cerebral cortex,NCC,Neuroscience,NeuralCorrelates,,,,,
Farkas2011,"Farkas, K.",2011.0,Two Versions of the Extended Mind Thesis,Philosophia,ExtendedMind,ConceptualAnalysis,ExtendedCognition,,,,,
Fink2018,"Fink, S. B.",2018.0,Introspective disputes deflated: the case for phenomenal variation,Philosophical Studies,Phenomenology,ConceptualAnalysis,PhenomenalVariation,,,,,
Fink2023,"Fink, S. B., & Kob, L.",2023.0,Can structuralist theories be general theories of consciousness?,Conscious and Unconscious Mentality,Structuralist,ConceptualAnalysis,Structuralism,,,,,
Fink2024,"Fink, S. B.",2024.0,How-tests for consciousness and direct neurophenomenal structuralism,Frontiers in Psychology,Structuralist,Phenomenology,Structuralism,,,,,
Friston2010,"Friston, K.",2010.0,The free-energy principle: a unified brain theory?,Nature Reviews Neuroscience,PredictiveProcessing,ComputationalModeling,UnifiedBrainTheory,"https://www.fil.ion.ucl.ac.uk/~karl/The%20free-energy%20principle,%20a%20unified%20brain%20theory_%20Nat%20Rev%20Neurosci.pdf",,,,
Gallagher2003,"Gallagher, S.",2003.0,Phenomenology and experimental design - Toward a phenomenologically enlightened experimental science,Journal of Consciousness Studies,Phenomenology,Methodology,ExperimentalDesign,,,,,
Gallagher2020,"Gallagher, S., & Zahavi, D.",2020.0,The phenomenological mind,Routledge,Phenomenology,Review,Phenomenology,,,,,
Gallese2007,"Gallese, V.",2007.0,Before and below ‘theory of mind’: embodied simulation and the neural correlates of social cognition,Philosophical Transactions of the Royal Society B: Biological Sciences,Embodied,Neuroscience,SocialCognition,,,,,
Gallese2011,"Gallese, V., & Sinigaglia, C.",2011.0,What is so special about embodied simulation?,Trends in cognitive sciences,Embodied,Review,EmbodiedSimulation,https://www.researchgate.net/profile/Vittorio-Gallese/publication/224817291_What_is_so_special_about_embodied_simulation/links/0c96052f9904f35d42000000/What-is-so-special-about-embodied-simulation.pdf,,,,
Gibson1979,"Gibson, J.J.",1979.0,The Ecological Approach to Visual Perception,Houghton-Mifflin,Ecological,ConceptualAnalysis,Affordances,,,,,
Grimes1996,"Grimes, J.",1996.0,On the failure to detect changes in scenes across saccades,"Vancouver Studies in Cognitive Science, 5",AttentionModels,Psychophysics,ChangeBlindness,,,,,
Grindrod2018,"Grindrod, P.",2018.0,On human consciousness: A mathematical perspective,Network neuroscience,Mathematical,ComputationalModeling,MathematicalModels,,,,,
